beadpack-1-X/processor0	effPorosity= 0.33037 		K_x= 3.40797e-12 m^2 		FF_x= 5.34429 		DarcyVelocity= 1.70399e-05 m/s 		DelP= 1 Pa 		K: 3.40797e-12 m^2 			K=( 3.40797e-12  0  0 ) Pmax-Pmin: 1.02161 Umax= 0.000508081		 effPorosity= V_pore/(L_x*L_y*L_z)= 2.64296e-12/(0.0002*0.0002*0.0002)= 0.33037		 Re=rho*VDarcy*sqrt(K)/mu= 1000*1.70399e-05*sqrt(3.40797e-12 )/0.001)= 3.14568e-05


x=mag(U)/U_D 	 PDF 	 dV/Vdx 	 PDF(log10(x)) 	 dV/Vd(log10(x))
4.56147e-08 416.82 416.82 4.37794e-05 4.37794e-05 
5.34866e-08 0 0 0 0 
6.27169e-08 0 0 0 0 
7.35402e-08 0 0 0 0 
8.62313e-08 0 0 0 0 
1.01113e-07 0 0 0 0 
1.18562e-07 160.365 160.365 4.37794e-05 4.37794e-05 
1.39023e-07 0 0 0 0 
1.63014e-07 116.635 116.635 4.37794e-05 4.37794e-05 
1.91146e-07 0 0 0 0 
2.24133e-07 0 0 0 0 
2.62812e-07 144.69 144.69 8.75587e-05 8.75587e-05 
3.08167e-07 0 0 0 0 
3.61348e-07 0 0 0 0 
4.23707e-07 0 0 0 0 
4.96828e-07 0 0 0 0 
5.82567e-07 32.6368 32.6368 4.37794e-05 4.37794e-05 
6.83103e-07 27.8335 27.8335 4.37794e-05 4.37794e-05 
8.00989e-07 23.7371 23.7371 4.37794e-05 4.37794e-05 
9.39218e-07 20.2436 20.2436 4.37794e-05 4.37794e-05 
1.1013e-06 34.5285 34.5285 8.75587e-05 8.75587e-05 
1.29136e-06 0 0 0 0 
1.51421e-06 62.7823 62.7823 0.000218897 0.000218897 
1.77552e-06 10.7085 10.7085 4.37794e-05 4.37794e-05 
2.08193e-06 9.13244 9.13244 4.37794e-05 4.37794e-05 
2.44122e-06 31.1535 31.1535 0.000175117 0.000175117 
2.86251e-06 6.64212 6.64212 4.37794e-05 4.37794e-05 
3.3565e-06 11.3291 11.3291 8.75587e-05 8.75587e-05 
3.93575e-06 0 0 0 0 
4.61495e-06 12.3597 12.3597 0.000131338 0.000131338 
5.41137e-06 0 0 0 0 
6.34523e-06 11.9858 11.9858 0.000175117 0.000175117 
7.44025e-06 5.11089 5.11089 8.75587e-05 8.75587e-05 
8.72424e-06 13.0761 13.0761 0.000262676 0.000262676 
1.02298e-05 9.293 9.293 0.000218897 0.000218897 
1.19952e-05 7.9253 7.9253 0.000218897 0.000218897 
1.40653e-05 10.8142 10.8142 0.000350235 0.000350235 
1.64926e-05 4.61132 4.61132 0.000175117 0.000175117 
1.93387e-05 1.96633 1.96633 8.75587e-05 8.75587e-05 
2.26761e-05 7.5462 7.5462 0.000394014 0.000394014 
2.65894e-05 1.43013 1.43013 8.75587e-05 8.75587e-05 
3.1178e-05 4.26878 4.26878 0.000306456 0.000306456 
3.65585e-05 3.64052 3.64052 0.000306456 0.000306456 
4.28675e-05 2.21766 2.21766 0.000218897 0.000218897 
5.02653e-05 3.4043 3.4043 0.000394014 0.000394014 
5.89398e-05 3.22586 3.22586 0.000437794 0.000437794 
6.91113e-05 2.75109 2.75109 0.000437794 0.000437794 
8.1038e-05 4.45778 4.45778 0.000831808 0.000831808 
9.50231e-05 2.20099 2.20099 0.000481573 0.000481573 
0.000111422 3.58347 3.58347 0.000919367 0.000919367 
0.00013065 1.74633 1.74633 0.000525352 0.000525352 
0.000153197 1.86164 1.86164 0.00065669 0.00065669 
0.000179634 1.6935 1.6935 0.00070047 0.00070047 
0.000210635 1.80532 1.80532 0.000875587 0.000875587 
0.000246984 1.15472 1.15472 0.00065669 0.00065669 
0.000289607 2.03519 2.03519 0.00135716 0.00135716 
0.000339586 1.90363 1.90363 0.0014885 0.0014885 
0.00039819 2.05321 2.05321 0.00188251 0.00188251 
0.000466907 2.0768 2.0768 0.00223275 0.00223275 
